date,IP,City,ASNumber,MeanThroughputMbps,MinRTT,LossRate
2020-03-16,46.152.45.255,Riyadh,1273,26.37955309644536,108.0,
2020-04-20,51.39.34.158,Riyadh,1273,0.3284599451845362,281.0,
2020-03-30,188.51.35.56,Riyadh,1273,1.6177801700084928,83.0,
2019-11-29,79.170.124.98,Riyadh,1273,11.773195123267712,120.0,
2019-11-16,79.170.127.112,Riyadh,1273,2.138211599493524,182.0,
2020-07-27,213.166.150.244,Riyadh,1273,3.88289642826659,111.0,
2019-12-01,79.170.122.232,Riyadh,1273,24.89266911881653,120.0,
2020-02-28,51.36.16.2,Riyadh,1273,1.551229999139676,188.0,
2020-03-02,51.36.9.24,Riyadh,1273,43.907296906126014,96.0,
2019-11-15,79.170.125.221,Riyadh,1273,6.363587215062099,122.0,
2019-11-12,79.170.127.252,Riyadh,1273,13.155732737719086,126.0,
2019-12-19,95.178.22.233,Riyadh,1273,22.754269108843637,151.0,
2019-12-19,95.178.18.180,Riyadh,1273,1.6227071533213946,185.0,
2020-01-02,2.90.141.105,Riyadh,1273,0.3171088621813847,85.0,
2020-07-12,37.42.122.145,Riyadh,1273,3.256188884506076,129.0,
2021-12-25,5.62.61.125,Riyadh,1273,165.63151454426276,79.313,0.0114699047540719
